student_ID,course_ID,section_number,semester,year,grade
1,155,2,Fall,2000,B
1,244,5,Fall,2015,C
1,162,1,Fall,2011,C
1,85,4,Spring,2000,C
1,244,9,Fall,2002,F
1,23,1,Fall,2004,B
2,4,4,Fall,2005,C
2,66,7,Fall,2007,A
2,95,4,Spring,2003,C
2,163,3,Fall,2015,C
3,231,5,Spring,2006,E
3,82,2,Fall,2012,A
4,177,3,Spring,2009,B
4,200,7,Fall,2016,A
4,60,7,Spring,2004,F
4,103,1,Fall,2005,C
4,87,1,Spring,2003,E
5,24,4,Spring,2007,C
5,146,1,Spring,2004,F
6,149,9,Fall,2006,B
6,250,3,Fall,2003,F
6,96,3,Spring,2002,A
7,135,4,Spring,2001,E
7,145,9,Fall,2012,C
7,172,6,Fall,2012,C
7,250,8,Fall,2016,E
8,185,6,Spring,2011,B
8,46,10,Fall,2016,E
8,137,5,Spring,2000,C
8,66,8,Fall,2015,B
8,211,4,Spring,2011,E
8,90,4,Spring,2014,C
9,193,2,Fall,2010,F
9,179,4,Spring,2011,A
9,129,2,Spring,2004,D
9,51,6,Spring,2007,F
9,186,2,Spring,2012,D
10,90,7,Fall,2015,A
10,42,1,Spring,2014,E
10,155,4,Spring,2005,B
10,152,1,Spring,2003,C
10,27,2,Spring,2004,B
10,51,1,Spring,2002,A
11,101,2,Fall,2007,E
11,222,10,Fall,2003,C
11,15,1,Spring,2013,B
11,44,1,Spring,2016,A
11,107,4,Spring,2000,E
11,186,5,Fall,2012,F
12,250,1,Spring,2001,B
12,214,2,Spring,2010,F
12,131,6,Spring,2003,A
12,99,2,Spring,2014,E
12,153,2,Spring,2009,E
12,104,3,Fall,2009,B
13,225,1,Spring,2013,D
13,145,6,Fall,2013,D
13,100,6,Fall,2006,A
13,148,7,Spring,2012,B
13,66,3,Fall,2008,D
13,103,6,Spring,2000,C
13,66,4,Spring,2012,E
14,220,2,Spring,2004,A
14,181,2,Spring,2015,E
14,12,6,Spring,2005,D
15,25,2,Spring,2001,C
15,120,7,Spring,2008,C
15,173,5,Spring,2012,A
15,196,2,Spring,2001,C
15,92,7,Spring,2004,A
15,127,4,Spring,2009,E
15,12,2,Spring,2004,E
16,50,3,Spring,2014,F
16,86,3,Spring,2007,F
17,25,5,Spring,2001,F
17,210,2,Spring,2014,E
17,206,4,Fall,2007,B
17,137,7,Spring,2000,D
17,104,6,Fall,2002,E
17,124,2,Spring,2016,C
18,196,1,Fall,2006,B
18,18,4,Spring,2006,D
18,3,2,Spring,2009,A
18,99,1,Spring,2011,B
18,58,3,Fall,2011,D
19,94,5,Spring,2007,C
19,187,5,Fall,2013,B
19,249,7,Spring,2007,A
19,181,4,Spring,2008,C
19,16,5,Fall,2006,C
19,187,7,Spring,2003,F
20,77,3,Spring,2006,B
20,23,2,Spring,2012,F
21,138,4,Spring,2010,B
21,225,8,Spring,2004,F
21,64,7,Fall,2001,C
21,150,2,Fall,2003,E
21,46,8,Spring,2006,B
21,234,1,Fall,2015,F
22,36,3,Spring,2003,B
22,219,4,Spring,2003,A
22,42,7,Fall,2011,A
22,183,5,Spring,2011,A
23,114,4,Fall,2010,C
24,160,4,Fall,2005,D
24,65,2,Fall,2011,E
24,242,1,Spring,2009,B
24,115,4,Spring,2000,B
24,219,2,Spring,2013,A
24,180,2,Spring,2015,C
25,33,3,Spring,2003,F
25,165,5,Fall,2010,F
25,142,2,Spring,2011,E
25,16,9,Spring,2016,B
25,86,1,Spring,2000,E
25,243,5,Spring,2006,E
25,182,1,Fall,2008,A
26,40,10,Fall,2009,D
26,79,8,Fall,2000,D
26,18,3,Spring,2016,F
26,15,3,Spring,2006,E
26,74,7,Fall,2013,D
26,176,4,Spring,2010,F
27,138,1,Spring,2009,C
27,128,3,Spring,2006,B
27,249,3,Spring,2005,D
27,2,2,Fall,2007,F
28,106,5,Fall,2013,B
28,214,1,Fall,2015,E
28,25,3,Fall,2005,E
28,113,6,Fall,2013,E
28,183,2,Fall,2008,B
28,237,5,Fall,2016,E
29,180,6,Fall,2005,D
30,90,6,Fall,2011,E
30,135,6,Spring,2008,F
30,104,4,Spring,2014,D
31,240,2,Fall,2015,B
31,95,6,Spring,2011,F
32,157,4,Spring,2004,E
32,44,6,Spring,2016,A
32,46,2,Spring,2004,C
33,85,5,Spring,2007,D
33,217,5,Fall,2006,E
33,3,6,Fall,2008,F
34,115,3,Spring,2006,D
35,111,1,Fall,2006,C
35,65,6,Spring,2003,D
35,171,1,Spring,2005,E
35,146,3,Fall,2016,A
35,92,6,Spring,2007,B
35,114,2,Fall,2002,D
35,83,7,Spring,2016,F
36,110,3,Fall,2002,F
36,133,1,Fall,2015,A
36,76,1,Fall,2000,E
36,143,1,Fall,2005,A
37,224,6,Spring,2012,F
38,90,8,Fall,2008,C
38,180,3,Fall,2005,B
38,71,6,Spring,2008,B
38,224,2,Spring,2010,C
39,248,5,Spring,2002,D
40,57,9,Fall,2008,F
41,211,5,Fall,2010,A
41,122,6,Fall,2016,F
41,94,2,Spring,2015,D
41,45,1,Spring,2001,D
41,3,7,Fall,2008,D
41,78,4,Spring,2013,E
41,7,9,Spring,2004,B
42,150,4,Fall,2000,E
43,33,5,Fall,2012,A
43,121,4,Spring,2009,B
43,58,4,Spring,2013,F
44,49,5,Fall,2001,C
44,232,2,Spring,2001,A
44,134,2,Fall,2016,D
44,225,9,Spring,2009,B
44,73,1,Spring,2005,A
44,176,10,Fall,2015,C
45,102,2,Fall,2011,E
45,133,5,Fall,2009,D
45,51,7,Spring,2007,E
45,54,1,Fall,2000,A
45,96,8,Fall,2005,F
46,221,3,Fall,2010,B
46,164,4,Fall,2008,E
46,146,4,Spring,2007,F
46,39,1,Fall,2006,A
47,225,4,Fall,2001,D
47,250,7,Spring,2012,F
48,129,1,Fall,2000,A
48,183,1,Fall,2007,A
48,39,3,Spring,2016,C
48,228,7,Fall,2012,F
48,205,4,Spring,2002,E
48,52,1,Spring,2016,F
49,136,7,Spring,2013,F
49,17,3,Spring,2004,C
50,10,2,Spring,2000,F
50,180,1,Spring,2010,B
50,185,4,Fall,2001,B
50,248,1,Spring,2011,F
50,234,2,Fall,2011,D
50,53,1,Fall,2000,F
50,60,4,Fall,2002,D
51,116,2,Fall,2003,C
51,83,2,Fall,2010,D
51,131,3,Fall,2007,F
51,115,5,Spring,2011,F
51,137,8,Fall,2014,E
51,115,7,Fall,2010,C
52,95,1,Spring,2010,C
52,81,2,Fall,2005,C
53,246,2,Fall,2015,D
53,2,3,Spring,2001,B
54,163,2,Fall,2000,D
54,53,3,Spring,2002,E
54,217,2,Fall,2001,D
54,124,3,Fall,2004,B
55,102,4,Spring,2012,B
55,3,1,Fall,2016,D
56,145,3,Fall,2003,B
56,213,2,Fall,2000,E
56,105,1,Spring,2014,A
56,46,1,Spring,2013,F
56,164,6,Spring,2000,A
56,72,2,Fall,2005,C
56,25,4,Fall,2005,A
57,16,7,Fall,2000,E
57,57,3,Fall,2006,B
57,34,1,Spring,2007,E
57,138,3,Fall,2007,A
57,227,2,Fall,2011,D
58,134,5,Spring,2009,A
58,57,1,Spring,2007,B
58,173,2,Fall,2015,F
58,171,3,Spring,2006,B
58,144,4,Fall,2010,E
59,89,3,Spring,2001,B
59,237,4,Fall,2009,B
59,128,6,Spring,2001,F
59,209,9,Spring,2005,E
60,184,4,Spring,2009,E
60,81,8,Spring,2006,F
60,78,1,Spring,2007,F
61,107,8,Fall,2015,C
61,10,1,Fall,2006,E
61,225,10,Fall,2013,A
62,41,1,Spring,2000,B
63,160,6,Spring,2007,A
63,92,4,Spring,2016,E
63,152,5,Fall,2002,F
63,250,5,Spring,2000,B
63,18,5,Spring,2011,F
63,185,10,Spring,2009,E
63,102,3,Spring,2008,C
64,40,7,Fall,2008,C
64,206,8,Fall,2000,D
65,187,8,Spring,2008,B
65,60,3,Fall,2014,D
65,11,2,Spring,2009,C
65,241,6,Fall,2015,F
66,248,6,Fall,2010,D
66,191,1,Fall,2005,F
66,140,2,Spring,2005,F
66,47,3,Fall,2012,A
66,156,8,Fall,2011,E
66,250,4,Spring,2001,A
67,180,4,Spring,2013,D
67,246,1,Fall,2001,D
67,166,1,Fall,2014,B
67,189,6,Spring,2000,F
68,58,1,Spring,2011,A
68,128,5,Fall,2008,B
68,212,7,Fall,2001,D
69,144,2,Fall,2009,A
69,221,1,Spring,2013,F
69,58,5,Spring,2005,E
69,217,8,Spring,2010,C
69,51,4,Fall,2003,C
69,107,2,Fall,2013,B
70,126,4,Fall,2001,D
70,187,9,Spring,2004,F
70,134,3,Spring,2016,C
70,59,1,Spring,2006,F
70,115,8,Fall,2003,C
70,159,2,Fall,2004,B
71,46,7,Spring,2001,F
71,158,2,Fall,2007,D
71,64,3,Spring,2004,C
72,90,5,Fall,2009,F
72,211,1,Fall,2012,C
72,71,3,Fall,2007,C
72,165,1,Fall,2014,B
72,71,2,Fall,2012,C
72,145,7,Spring,2016,F
73,53,2,Fall,2007,D
74,187,2,Spring,2010,C
75,199,1,Fall,2015,D
75,131,7,Fall,2012,A
75,49,6,Fall,2008,C
76,103,3,Fall,2000,D
76,186,1,Fall,2003,B
76,203,3,Fall,2014,C
76,231,3,Spring,2011,E
76,152,8,Spring,2010,B
76,18,8,Spring,2016,B
76,46,5,Spring,2007,A
77,97,6,Fall,2015,F
77,221,4,Fall,2011,B
77,231,2,Spring,2014,D
77,218,1,Fall,2016,D
77,212,8,Spring,2001,E
77,65,4,Fall,2016,A
78,184,5,Fall,2014,B
78,144,6,Spring,2004,A
78,139,4,Fall,2004,C
78,237,2,Fall,2003,A
78,64,2,Spring,2001,F
79,98,7,Fall,2008,C
79,226,9,Spring,2013,B
79,160,1,Spring,2007,F
79,156,6,Fall,2007,E
79,113,3,Spring,2000,D
80,145,8,Spring,2016,F
80,136,10,Fall,2008,E
80,165,3,Spring,2011,D
80,154,2,Fall,2006,A
81,28,3,Spring,2008,A
81,128,1,Fall,2005,A
81,120,5,Fall,2003,A
82,113,5,Spring,2013,A
82,224,1,Spring,2016,B
82,243,6,Spring,2000,B
82,168,6,Spring,2003,B
82,36,2,Spring,2015,A
83,96,4,Fall,2007,C
83,7,7,Fall,2015,B
83,16,2,Spring,2008,C
83,110,2,Fall,2015,C
83,245,3,Fall,2009,B
83,155,1,Spring,2007,A
83,141,1,Fall,2014,C
84,173,8,Fall,2005,F
84,18,2,Fall,2006,D
85,172,2,Spring,2014,D
85,186,4,Spring,2002,E
85,216,6,Spring,2010,E
85,223,5,Spring,2003,D
85,48,2,Fall,2003,D
86,67,6,Fall,2009,D
86,184,6,Spring,2013,D
86,123,8,Spring,2007,B
86,41,5,Fall,2009,D
87,200,5,Fall,2008,C
87,183,4,Fall,2010,D
87,112,5,Spring,2007,F
88,118,2,Spring,2011,B
88,140,6,Spring,2009,F
89,145,1,Spring,2011,D
89,65,5,Spring,2015,D
89,243,4,Spring,2012,F
89,84,1,Fall,2010,F
89,217,1,Fall,2015,A
89,121,2,Fall,2000,C
90,154,3,Spring,2015,E
90,215,3,Fall,2001,B
90,139,7,Fall,2005,D
90,226,6,Spring,2005,C
90,249,4,Spring,2000,F
90,52,8,Spring,2007,D
90,137,3,Fall,2010,F
91,244,1,Fall,2000,C
92,86,2,Fall,2008,C
93,185,3,Fall,2003,E
94,147,4,Spring,2005,F
94,218,7,Spring,2014,B
95,87,2,Fall,2002,B
96,135,3,Fall,2013,C
96,239,1,Fall,2003,D
96,149,7,Spring,2010,B
96,123,1,Fall,2000,D
96,244,4,Fall,2003,A
97,216,9,Fall,2001,A
97,212,1,Fall,2001,E
97,161,4,Spring,2013,B
97,218,2,Fall,2013,E
97,71,4,Spring,2008,B
97,68,2,Spring,2011,C
97,246,6,Spring,2006,C
98,190,2,Spring,2005,D
98,194,1,Fall,2016,C
98,49,7,Fall,2009,B
98,150,3,Spring,2005,E
98,115,6,Fall,2000,F
99,228,5,Spring,2001,C
99,78,3,Fall,2004,F
99,214,3,Spring,2004,A
99,228,3,Fall,2014,E
99,212,4,Spring,2004,B
99,226,10,Fall,2012,F
99,117,1,Spring,2002,D
100,227,3,Fall,2012,E
100,7,8,Fall,2012,A
100,94,3,Fall,2008,F
100,206,6,Fall,2008,D
100,176,7,Fall,2013,C
100,156,1,Spring,2013,B
100,206,3,Fall,2008,C
101,203,2,Spring,2015,F
101,57,8,Spring,2016,A
101,226,7,Spring,2015,E
101,74,5,Fall,2003,E
101,101,3,Fall,2003,C
102,230,4,Spring,2002,E
102,244,2,Fall,2002,A
102,94,1,Fall,2011,F
103,94,8,Spring,2007,C
103,44,3,Spring,2005,C
103,107,1,Spring,2012,E
103,245,7,Fall,2002,A
103,177,4,Fall,2014,C
104,226,3,Spring,2005,F
104,97,1,Spring,2004,F
104,175,2,Fall,2008,F
104,149,4,Fall,2000,D
104,230,3,Fall,2009,E
104,37,1,Fall,2016,A
105,66,9,Fall,2009,B
106,100,7,Spring,2015,C
106,51,5,Spring,2003,E
106,102,5,Fall,2004,D
107,206,1,Spring,2002,F
107,126,6,Fall,2005,E
107,7,6,Spring,2005,E
107,216,1,Spring,2000,E
108,215,2,Fall,2009,F
108,138,6,Fall,2014,D
108,222,4,Spring,2009,A
108,17,2,Spring,2013,D
109,72,4,Fall,2000,C
109,53,4,Fall,2009,F
109,191,2,Fall,2004,E
109,92,8,Fall,2016,C
109,98,10,Spring,2015,A
109,99,5,Fall,2003,F
110,159,1,Spring,2011,D
110,133,2,Spring,2006,F
110,51,3,Spring,2015,E
110,184,2,Spring,2007,A
111,179,3,Fall,2004,F
111,148,1,Fall,2001,A
111,62,2,Spring,2013,D
111,39,7,Spring,2016,A
112,225,6,Spring,2008,F
112,209,3,Spring,2013,A
112,34,8,Spring,2015,B
113,67,9,Spring,2000,D
113,245,2,Fall,2001,E
113,247,1,Spring,2010,E
114,184,1,Fall,2006,D
114,149,3,Fall,2008,F
115,131,5,Spring,2016,E
115,45,2,Spring,2002,A
115,100,2,Spring,2008,C
115,34,6,Spring,2013,C
115,22,2,Spring,2000,A
115,35,3,Fall,2000,A
116,8,4,Spring,2008,E
116,87,3,Fall,2008,E
116,217,7,Spring,2013,A
116,92,10,Spring,2009,D
116,57,4,Fall,2011,F
117,58,9,Spring,2012,B
117,39,8,Spring,2016,A
118,22,1,Fall,2009,E
118,128,2,Fall,2012,A
119,98,2,Spring,2006,F
119,65,8,Spring,2010,B
119,67,5,Spring,2004,F
119,139,3,Fall,2010,B
119,3,8,Spring,2014,D
119,172,1,Spring,2016,C
120,209,1,Spring,2007,A
121,213,5,Spring,2015,A
121,101,6,Fall,2010,D
122,159,8,Fall,2005,C
123,206,5,Spring,2009,B
123,25,8,Fall,2000,F
124,52,9,Fall,2007,E
124,100,4,Spring,2002,F
124,177,2,Spring,2011,F
124,153,3,Spring,2002,A
125,2,1,Fall,2012,B
125,50,1,Fall,2010,E
126,211,2,Spring,2010,F
126,55,1,Spring,2006,A
127,40,4,Spring,2006,C
127,156,7,Spring,2004,F
127,122,3,Fall,2012,A
128,119,3,Spring,2001,C
129,231,4,Fall,2014,D
129,7,5,Spring,2003,C
129,200,1,Spring,2006,A
130,62,3,Spring,2003,E
131,160,3,Spring,2015,F
131,127,2,Spring,2006,D
131,19,2,Spring,2008,C
131,185,7,Spring,2010,A
131,248,4,Fall,2005,D
131,159,6,Fall,2014,C
132,238,1,Fall,2013,D
132,178,1,Spring,2008,C
132,73,5,Spring,2002,B
132,16,6,Spring,2015,C
132,205,5,Fall,2000,B
132,31,2,Spring,2013,F
132,124,1,Spring,2016,D
133,188,1,Fall,2005,A
133,8,1,Spring,2005,A
133,108,4,Spring,2011,E
133,107,6,Fall,2011,C
133,195,1,Spring,2009,B
134,74,3,Fall,2014,D
134,85,6,Spring,2003,E
134,73,3,Fall,2009,F
135,144,7,Fall,2011,A
136,223,8,Spring,2000,A
137,241,7,Fall,2011,B
137,159,7,Fall,2009,C
137,167,1,Fall,2006,C
137,213,6,Spring,2007,F
137,41,4,Spring,2011,B
137,100,9,Spring,2016,C
138,171,5,Fall,2000,F
138,205,1,Fall,2001,B
139,211,6,Fall,2004,D
139,144,8,Fall,2009,E
139,88,1,Fall,2005,F
139,136,6,Fall,2000,C
139,121,1,Spring,2010,B
140,61,1,Fall,2010,E
140,223,2,Spring,2011,F
140,85,2,Spring,2007,F
140,25,7,Spring,2001,F
140,148,3,Spring,2005,E
140,232,1,Fall,2005,F
140,241,4,Fall,2014,C
141,236,3,Spring,2014,E
141,47,4,Spring,2005,C
141,173,10,Fall,2000,A
141,71,5,Spring,2002,D
141,15,2,Fall,2013,C
141,222,5,Spring,2005,F
142,59,5,Fall,2008,C
143,98,4,Spring,2000,A
143,164,1,Fall,2001,F
143,128,4,Fall,2012,E
143,245,8,Spring,2001,A
143,179,1,Spring,2005,F
143,212,2,Fall,2016,B
144,172,5,Spring,2015,D
144,216,2,Spring,2015,E
144,73,4,Fall,2012,A
144,49,2,Spring,2008,D
144,153,1,Spring,2009,C
144,96,1,Spring,2008,D
145,81,3,Spring,2015,B
145,51,8,Fall,2011,B
146,56,1,Fall,2016,B
146,23,3,Spring,2013,A
146,108,2,Fall,2015,D
147,229,9,Fall,2009,C
147,19,4,Spring,2010,D
147,39,2,Spring,2013,D
147,201,1,Fall,2006,F
147,25,1,Spring,2016,B
148,211,3,Fall,2003,C
148,249,1,Spring,2004,E
148,71,1,Spring,2006,D
148,58,8,Spring,2002,A
148,229,6,Spring,2000,E
148,150,5,Spring,2003,C
149,247,2,Fall,2001,E
150,219,1,Spring,2011,F
150,213,8,Fall,2014,E
150,243,1,Fall,2002,D
150,100,8,Spring,2002,D
150,104,5,Spring,2010,E
151,40,2,Spring,2016,B
151,244,3,Spring,2012,C
151,205,6,Spring,2000,F
151,209,7,Spring,2000,B
151,132,5,Spring,2002,B
151,233,1,Fall,2001,F
152,123,2,Fall,2007,B
152,126,2,Fall,2016,C
152,90,9,Spring,2002,F
152,24,1,Fall,2014,D
152,235,1,Fall,2006,D
152,97,4,Spring,2006,E
153,243,7,Fall,2002,E
153,208,2,Spring,2016,F
154,63,2,Spring,2008,C
154,144,3,Fall,2002,D
154,108,6,Fall,2008,C
155,7,2,Fall,2005,D
156,157,2,Fall,2012,E
156,72,1,Spring,2000,B
156,235,3,Fall,2014,A
156,49,8,Spring,2007,B
157,195,3,Spring,2002,C
157,202,3,Spring,2015,C
157,83,8,Spring,2002,C
157,206,7,Spring,2008,D
157,231,1,Spring,2004,A
157,189,4,Spring,2011,B
157,134,4,Fall,2012,B
158,228,6,Fall,2005,C
158,127,7,Fall,2014,F
158,125,2,Fall,2001,A
159,42,6,Fall,2001,F
160,74,6,Spring,2005,C
160,96,9,Spring,2013,D
160,14,3,Fall,2012,F
160,133,3,Fall,2008,E
160,185,9,Fall,2004,B
160,52,5,Spring,2006,E
160,34,3,Fall,2006,D
161,135,7,Spring,2000,A
161,119,1,Spring,2007,E
161,191,6,Spring,2010,B
162,229,3,Fall,2005,B
162,59,4,Spring,2011,F
162,102,8,Spring,2016,D
162,98,3,Spring,2011,F
163,126,3,Fall,2015,F
163,249,5,Spring,2004,B
164,40,5,Spring,2009,F
164,236,2,Spring,2008,F
164,52,7,Spring,2004,F
164,40,3,Spring,2000,D
165,218,6,Fall,2012,D
166,184,3,Fall,2002,C
166,140,9,Spring,2006,F
166,29,1,Fall,2013,B
166,149,2,Spring,2005,E
166,33,1,Spring,2003,D
166,244,7,Spring,2016,A
166,96,2,Spring,2009,E
167,123,3,Fall,2011,C
168,89,1,Spring,2005,F
168,94,4,Fall,2005,C
168,56,2,Spring,2014,E
168,235,6,Fall,2011,F
169,55,3,Spring,2003,B
169,129,4,Spring,2011,E
169,114,1,Spring,2004,F
169,94,6,Spring,2000,A
169,81,7,Spring,2005,C
169,219,3,Spring,2007,E
170,205,3,Spring,2007,E
170,225,5,Fall,2006,B
170,175,1,Spring,2013,E
171,7,10,Spring,2014,F
171,40,6,Spring,2007,C
171,57,6,Fall,2006,A
171,246,4,Fall,2015,E
171,173,6,Spring,2004,C
171,156,5,Fall,2011,C
172,16,10,Fall,2014,F
172,69,2,Spring,2015,A
173,137,2,Fall,2005,A
174,121,5,Spring,2003,E
174,187,1,Fall,2001,F
174,212,9,Fall,2016,A
174,229,8,Fall,2012,B
